,r,p
node1953,0.6102188056829008,0.009
node1913,0.4375374140384574,0.013
node1973,0.8524190940369539,0.03
node1981,0.7290562038858454,0.001
node1986,0.5233085811359839,0.001
node1995,0.5550909667776468,0.001
node2007,0.5790330884221063,0.001
node2000,0.515951441344899,0.001
node1956,0.4688655923450522,0.001
node1912,0.29779567635262516,0.001
node2017,0.2952961640050793,0.003
node2016,0.26891726695564605,0.002
node2015,0.6226908194839845,0.001
node2041,0.8533840796331049,0.001
node2013,0.865743525232451,0.001
node2048,0.678464908738545,0.001
node2052,0.7507715744505841,0.001
node2062,0.05975465851461654,0.716
node2085,0.19401538080279968,0.041
node2139,-0.28548593368937203,0.251
node2138,-0.012396476324075346,0.949
node2137,0.17244432913482782,0.117
node2169,-0.03352246856344232,0.761
node2158,0.21326902025582856,0.03
node2192,0.17018969323602837,0.084
node2195,0.09937400521136999,0.34
node2155,0.12170783615380666,0.273
node2154,0.19665362970881697,0.064
node2235,0.42323972865310333,0.045
node2217,0.04720620653211743,0.774
node2201,0.019578116443658054,0.898
node2250,0.012416402618099282,0.898
node2151,-0.036898882925886896,0.712
node2150,0.1789212220574864,0.002
node2278,0.10273019267805499,0.03
node2287,0.0996615272451906,0.032
node2277,0.7087478784369458,0.001
node2147,0.7038262162670353,0.001
node2315,-0.23134479416966452,0.199
node2314,-0.01852278733116999,0.898
node2313,0.049374817750348375,0.76
node2344,0.17159007736105453,0.323
node2375,0.10554955125336536,0.787
node2394,0.33698988366911714,0.202
node2409,0.49818136222711307,0.001
node2403,0.28984398548612905,0.001
node2357,0.3295678032439658,0.001
node2456,0.2570474028015002,0.286
node2463,-0.045458986341939636,0.899
node2468,0.36453432742656905,0.018
node2493,0.5490685546438099,0.002
node2488,0.5165108502046226,0.002
node2487,0.614688458076903,0.001
node2486,0.5610976330332934,0.001
node2532,-0.06758004046107753,0.679
node2559,-0.02052059902578124,0.869
node2577,-0.1760186828455199,0.288
node2556,0.41870963762969476,0.023
node2602,0.5472359893628137,0.001
node2597,0.34790676198506304,0.001
node2595,0.4631680885463599,0.001
node2555,0.45985387625623625,0.001
node2617,0.4708337763576224,0.001
node2616,0.5195449473683935,0.001
node2542,0.5720056196547588,0.001
node2637,0.23681136825577923,0.221
node2642,0.3345028368700849,0.043
node2636,0.33844125321558066,0.008
node2682,0.03977154676299225,0.918
node2681,0.492905569227862,0.001
node2680,0.5324151521031898,0.001
node2679,0.41338587029351104,0.001
node2688,0.4023749236203191,0.001
node2678,0.23950207447698577,0.001
node2694,0.23799169843914228,0.001
