ID,Phylum
t646862308,Actinobacteria
t2511231214,Actinobacteria
t644736329,Actinobacteria
t644736330,Actinobacteria
t641736235,Actinobacteria
t646862309,Actinobacteria
t651053004,Actinobacteria
t643886040,Actinobacteria
t649633015,Actinobacteria
t649633016,Actinobacteria
t651053005,Actinobacteria
t643886102,Actinobacteria
t651053006,Actinobacteria
t642979312,Actinobacteria
t641736189,Actinobacteria
t648276623,Actinobacteria
t646311910,Actinobacteria
t649989915,Actinobacteria
t642979324,Actinobacteria
t642555107,Actinobacteria
t645058795,Actinobacteria
t637000031,Actinobacteria
t649633017,Actinobacteria
t643348516,Actinobacteria
t649633019,Actinobacteria
t643886140,Actinobacteria
t649633018,Actinobacteria
t643886216,Actinobacteria
t650377912,Actinobacteria
t646564512,Actinobacteria
t651053007,Actinobacteria
t651053008,Actinobacteria
t642979313,Actinobacteria
t649989916,Actinobacteria
t2512564033,Actinobacteria
t644736331,Actinobacteria
t638341022,Actinobacteria
t647000216,Actinobacteria
t644736339,Actinobacteria
t646564520,Actinobacteria
t2505679016,Actinobacteria
t640427108,Actinobacteria
t642555124,Actinobacteria
t640612206,Actinobacteria
t642979320,Actinobacteria
t642979321,Actinobacteria
t646311917,Actinobacteria
t2503538010,Actinobacteria
t643886058,Actinobacteria
t648276632,Actinobacteria
t647000230,Actinobacteria
t642979306,Actinobacteria
t645951870,Actinobacteria
t643692018,Actinobacteria
t651324023,Actinobacteria
t2511231126,Actinobacteria
t2511231075,Actinobacteria
t2511231099,Actinobacteria
t2511231089,Actinobacteria
t2511231115,Actinobacteria
t2511231083,Actinobacteria
t2511231091,Actinobacteria
t2511231059,Actinobacteria
t2511231084,Actinobacteria
t2511231088,Actinobacteria
t2511231111,Actinobacteria
t2511231107,Actinobacteria
t637000082,Actinobacteria
t644736345,Actinobacteria
t645951842,Actinobacteria
t648276633,Actinobacteria
t643886147,Actinobacteria
t643886137,Actinobacteria
t639279306,Actinobacteria
t639279307,Actinobacteria
t640427110,Actinobacteria
t647000231,Actinobacteria
t637000085,Actinobacteria
t643692019,Actinobacteria
t643886002,Actinobacteria
t648276634,Actinobacteria
t643886207,Actinobacteria
t643886084,Actinobacteria
t2511231142,Actinobacteria
t648231702,Actinobacteria
t2511231067,Actinobacteria
t2512564036,Actinobacteria
t2511231212,Actinobacteria
t648231703,Actinobacteria
t2511231153,Actinobacteria
t648028019,Actinobacteria
t650377927,Actinobacteria
t2512564058,Actinobacteria
t2511231154,Actinobacteria
t650716029,Actinobacteria
t643886057,Actinobacteria
t645058719,Actinobacteria
t651053019,Actinobacteria
t650716030,Actinobacteria
t641522620,Actinobacteria
t649989925,Actinobacteria
t2511231114,Actinobacteria
t644736346,Actinobacteria
t2510065084,Actinobacteria
t649989926,Actinobacteria
t649989929,Actinobacteria
t644736358,Actinobacteria
t649989930,Actinobacteria
t651324028,Actinobacteria
t650716034,Actinobacteria
t637000115,Actinobacteria
t2508501039,Actinobacteria
t637000116,Actinobacteria
t641228492,Actinobacteria
t2506381019,Actinobacteria
t647000251,Actinobacteria
t2506381020,Actinobacteria
t649633045,Actinobacteria
t2509887025,Actinobacteria
t647000253,Actinobacteria
t2506783011,Actinobacteria
t649633046,Actinobacteria
t646311928,Actinobacteria
t648276677,Actinobacteria
t647000255,Actinobacteria
t648276678,Actinobacteria
t651053027,Actinobacteria
t646311931,Actinobacteria
t2512047058,Actinobacteria
t646311932,Actinobacteria
t651324037,Actinobacteria
t2512564042,Actinobacteria
t650377943,Actinobacteria
t649633057,Actinobacteria
t2505679076,Actinobacteria
t2505679068,Actinobacteria
t638341107,Actinobacteria
t2509601042,Actinobacteria
t644736376,Actinobacteria
t640753031,Actinobacteria
t2511231086,Actinobacteria
t642555133,Actinobacteria
t646311938,Actinobacteria
t644736380,Actinobacteria
t637000149,Actinobacteria
t650716057,Actinobacteria
t644736390,Actinobacteria
t645951813,Actinobacteria
t647000274,Actinobacteria
t650716058,Actinobacteria
t648028042,Actinobacteria
t647533185,Actinobacteria
t649633069,Actinobacteria
t648028043,Actinobacteria
t649989973,Actinobacteria
t648276689,Actinobacteria
t649989974,Actinobacteria
t647000277,Actinobacteria
t648276690,Actinobacteria
t643886108,Actinobacteria
t648276691,Actinobacteria
t641522641,Actinobacteria
t650716059,Actinobacteria
t639633039,Actinobacteria
t645058725,Actinobacteria
t637000168,Actinobacteria
t637000169,Actinobacteria
t2511231152,Actinobacteria
t639633040,Actinobacteria
t643692028,Actinobacteria
t650716060,Actinobacteria
t2506783014,Actinobacteria
t2512047063,Actinobacteria
t640427122,Actinobacteria
t649633070,Actinobacteria
t645058739,Actinobacteria
t2512564050,Actinobacteria
t2512564041,Actinobacteria
t645058849,Actinobacteria
t643348566,Actinobacteria
t637000170,Actinobacteria
t641522642,Actinobacteria
t647000278,Actinobacteria
t2506783048,Actinobacteria
t2508501106,Actinobacteria
t2506783060,Actinobacteria
t639633041,Actinobacteria
t650716061,Actinobacteria
t640069320,Actinobacteria
t639633042,Actinobacteria
t637000171,Actinobacteria
t642979309,Actinobacteria
t647000279,Actinobacteria
t642979310,Actinobacteria
t645058721,Actinobacteria
t638341130,Actinobacteria
t651053043,Actinobacteria
t651053044,Actinobacteria
t637000172,Actinobacteria
t645951826,Actinobacteria
t2511231130,Actinobacteria
t642979363,Actinobacteria
t640427123,Actinobacteria
t642979350,Actinobacteria
t640427124,Actinobacteria
t641736240,Actinobacteria
t637000173,Actinobacteria
t641736194,Actinobacteria
t645951854,Actinobacteria
t644736391,Actinobacteria
t647000280,Actinobacteria
t2511231070,Actinobacteria
t645058860,Actinobacteria
t645058861,Actinobacteria
t648276692,Actinobacteria
t647000281,Actinobacteria
t2512564073,Actinobacteria
t648276693,Actinobacteria
t648276694,Actinobacteria
t648276695,Actinobacteria
t648276696,Actinobacteria
t648276697,Actinobacteria
t648276698,Actinobacteria
t648276699,Actinobacteria
t648276700,Actinobacteria
t648276701,Actinobacteria
t648276702,Actinobacteria
t648276703,Actinobacteria
t648276704,Actinobacteria
t642979349,Actinobacteria
t645951864,Actinobacteria
t642979364,Actinobacteria
t642979311,Actinobacteria
t2512564056,Actinobacteria
t2508501052,Actinobacteria
t642555140,Actinobacteria
t639633044,Actinobacteria
t644736393,Actinobacteria
t2511231172,Actinobacteria
t637000198,Actinobacteria
t651324077,Actinobacteria
t639633046,Actinobacteria
t646564557,Actinobacteria
t648028047,Actinobacteria
t649989980,Actinobacteria
t647533193,Actinobacteria
t2510065083,Actinobacteria
t2507525000,Actinobacteria
t651053058,Actinobacteria
t651053059,Actinobacteria
t2511231219,Actinobacteria
t647000296,Actinobacteria
t647000297,Actinobacteria
t637000215,Actinobacteria
t646564561,Actinobacteria
t647000298,Actinobacteria
t2511231125,Actinobacteria
t2511231095,Actinobacteria
t2511231063,Actinobacteria
t649633084,Actinobacteria
t651324091,Actinobacteria
t651324092,Actinobacteria
t2512047068,Actinobacteria
t651053061,Actinobacteria
t649989992,Actinobacteria
t641228502,Actinobacteria
t649633089,Actinobacteria
t647000305,Actinobacteria
t643692033,Actinobacteria
t643886201,Actinobacteria
t637000234,Actinobacteria
t646564564,Actinobacteria
t649633093,Actinobacteria
t648861015,Actinobacteria
t645058800,Actinobacteria
t646311951,Actinobacteria
t2505679031,Actinobacteria
t637000248,Actinobacteria
t2508501044,Actinobacteria
t2508501013,Actinobacteria
t2508501119,Actinobacteria
t2508501116,Actinobacteria
t2508501012,Actinobacteria
t2510461000,Actinobacteria
t2507262046,Actinobacteria
t644736404,Actinobacteria
t2509276054,Actinobacteria
t647000310,Actinobacteria
t640069329,Actinobacteria
t641228504,Actinobacteria
t640427140,Actinobacteria
t646564565,Actinobacteria
t647533207,Actinobacteria
t646564566,Actinobacteria
t649989995,Actinobacteria
t645951837,Actinobacteria
t644736405,Actinobacteria
t646564571,Actinobacteria
t645058823,Actinobacteria
t637000304,Actinobacteria
t2511231092,Actinobacteria
t646862346,Actinobacteria
t2511231200,Actinobacteria
t2511231113,Actinobacteria
t647533233,Actinobacteria
t642979328,Actinobacteria
t651324105,Actinobacteria
t637000305,Actinobacteria
t645058824,Actinobacteria
t651324106,Actinobacteria
t645058728,Actinobacteria
t647000328,Actinobacteria
t641522653,Actinobacteria
t645058857,Actinobacteria
t2511231140,Actinobacteria
t645058856,Actinobacteria
t648861016,Actinobacteria
t645058827,Actinobacteria
t645058822,Actinobacteria
t646564576,Actinobacteria
t645951800,Actinobacteria
t645058853,Actinobacteria
t642791623,Actinobacteria
t649990018,Actinobacteria
t647533234,Actinobacteria
t645951849,Actinobacteria
t647000329,Actinobacteria
t651285011,Actinobacteria
t647533235,Actinobacteria
t2503386004,Actinobacteria
t648861017,Actinobacteria
t648276750,Actinobacteria
t645058855,Actinobacteria
t2510065021,Actinobacteria
t646311958,Actinobacteria
t637000319,Actinobacteria
t646564581,Actinobacteria
t646311963,Actinobacteria
t637000330,Actinobacteria
t637000331,Actinobacteria
t646564587,Actinobacteria
t650716103,Actinobacteria
t646311968,Actinobacteria
t646564503,Synergistetes
t2502790015,Synergistetes
t647000209,Synergistetes
t2509601011,Synergistetes
t2510065052,Synergistetes
t2501533205,Synergistetes
t2508501103,Synergistetes
t645951855,Synergistetes
t647000302,Synergistetes
t650377983,Synergistetes
t646311961,Synergistetes
t2508501068,Synergistetes
t2505119043,Synergistetes
t641522601,Tenericutes
t637000011,Tenericutes
t642555117,Tenericutes
t642555118,Tenericutes
t637000202,Tenericutes
t651324041,Tenericutes
t637000158,Tenericutes
t646564553,Tenericutes
t640427125,Tenericutes
t647000282,Tenericutes
t2512047064,Tenericutes
t642555141,Tenericutes
t649633071,Tenericutes
t650716062,Tenericutes
t637000174,Tenericutes
t2512047065,Tenericutes
t644736392,Tenericutes
t646564554,Tenericutes
t648028044,Tenericutes
t649633072,Tenericutes
t650377959,Tenericutes
t646862333,Tenericutes
t646862334,Tenericutes
t637000175,Tenericutes
t638341133,Tenericutes
t637000176,Tenericutes
t2501939620,Tenericutes
t2511231066,Tenericutes
t649633073,Tenericutes
t651053045,Tenericutes
t646311946,Tenericutes
t650377960,Tenericutes
t637000177,Tenericutes
t637000178,Tenericutes
t637000179,Tenericutes
t2511231163,Tenericutes
t648028045,Tenericutes
t2512047042,Tenericutes
t651053046,Tenericutes
t649633074,Tenericutes
t637000180,Tenericutes
t646862336,Tenericutes
t646862335,Tenericutes
t648231714,Tenericutes
t637000181,Tenericutes
t650716063,Tenericutes
t637000182,Tenericutes
t2511231209,Tenericutes
t648231715,Tenericutes
t637000183,Tenericutes
t637000184,Tenericutes
t2511231058,Tenericutes
t2511231073,Tenericutes
t650716064,Tenericutes
t637000185,Tenericutes
t641736107,Tenericutes
t641736108,Tenericutes
t641522658,Tenericutes
t637000332,Tenericutes
t641736200,Tenericutes
t645951876,Tenericutes
t645951875,Tenericutes
t645951873,Tenericutes
t645951879,Tenericutes
t645951872,Tenericutes
t645951878,Tenericutes
t645951877,Tenericutes
t645951871,Tenericutes
t643348586,Tenericutes
t645951874,Tenericutes
t638341020,Planctomycetes
t642555116,Planctomycetes
t641736268,Planctomycetes
t649633058,Planctomycetes
t646311948,Planctomycetes
t649633083,Planctomycetes
t646564559,Planctomycetes
t640963032,Planctomycetes
t637000236,Planctomycetes
t2509601004,Planctomycetes
t644736321,Proteobacteria
t646862301,Proteobacteria
t646862302,Proteobacteria
t646862303,Proteobacteria
t646862304,Proteobacteria
t646862305,Proteobacteria
t646862306,Proteobacteria
t646862307,Proteobacteria
t651324000,Proteobacteria
t651324001,Proteobacteria
t647000200,Proteobacteria
t649633001,Proteobacteria
t640427101,Proteobacteria
t650716002,Proteobacteria
t651324003,Proteobacteria
t645058727,Proteobacteria
t650716003,Proteobacteria
t651324004,Proteobacteria
t2510436001,Proteobacteria
t643348501,Proteobacteria
t642555101,Proteobacteria
t2510436005,Proteobacteria
t639633002,Proteobacteria
t650716004,Proteobacteria
t645058786,Proteobacteria
t643348541,Proteobacteria
t639633003,Proteobacteria
t650377901,Proteobacteria
t647000203,Proteobacteria
t647000204,Proteobacteria
t647000205,Proteobacteria
t643348502,Proteobacteria
t648276604,Proteobacteria
t643348503,Proteobacteria
t645058757,Proteobacteria
t642555102,Proteobacteria
t640069301,Proteobacteria
t647533101,Proteobacteria
t641522602,Proteobacteria
t2511231155,Proteobacteria
t641522603,Proteobacteria
t650377902,Proteobacteria
t637000002,Proteobacteria
t2511231056,Proteobacteria
t650377903,Proteobacteria
t646206267,Proteobacteria
t647000202,Proteobacteria
t646206268,Proteobacteria
t646206269,Proteobacteria
t646206270,Proteobacteria
t646206271,Proteobacteria
t645058758,Proteobacteria
t643886214,Proteobacteria
t648028004,Proteobacteria
t647533107,Proteobacteria
t647533108,Proteobacteria
t643886008,Proteobacteria
t645058770,Proteobacteria
t640069302,Proteobacteria
t638341004,Proteobacteria
t648276605,Proteobacteria
t648276606,Proteobacteria
t648276607,Proteobacteria
t648276608,Proteobacteria
t648276609,Proteobacteria
t648276610,Proteobacteria
t648276611,Proteobacteria
t641522604,Proteobacteria
t648276612,Proteobacteria
t648276614,Proteobacteria
t648276613,Proteobacteria
t642555103,Proteobacteria
t648276615,Proteobacteria
t640753001,Proteobacteria
t649989900,Proteobacteria
t651324007,Proteobacteria
t639633004,Proteobacteria
t641522605,Proteobacteria
t650716006,Proteobacteria
t648276616,Proteobacteria
t2511231110,Proteobacteria
t648028005,Proteobacteria
t647000208,Proteobacteria
t2501416926,Proteobacteria
t644736324,Proteobacteria
t649989906,Proteobacteria
t651324008,Proteobacteria
t650716007,Proteobacteria
t639279301,Proteobacteria
t639279302,Proteobacteria
t643348505,Proteobacteria
t648276617,Proteobacteria
t637000004,Proteobacteria
t647533109,Proteobacteria
t649633004,Proteobacteria
t650716008,Proteobacteria
t643348506,Proteobacteria
t637000005,Proteobacteria
t646564502,Proteobacteria
t645058809,Proteobacteria
t642555105,Proteobacteria
t2504136012,Proteobacteria
t643348507,Proteobacteria
t637000007,Proteobacteria
t642555106,Proteobacteria
t640753003,Proteobacteria
t646311905,Proteobacteria
t643692003,Proteobacteria
t645058829,Proteobacteria
t645058766,Proteobacteria
t637000008,Proteobacteria
t645058830,Proteobacteria
t637000009,Proteobacteria
t2511231182,Proteobacteria
t649989908,Proteobacteria
t640753004,Proteobacteria
t646564506,Proteobacteria
t2511231177,Proteobacteria
t637000012,Proteobacteria
t651285000,Proteobacteria
t649633007,Proteobacteria
t638341009,Proteobacteria
t639633007,Proteobacteria
t641228476,Proteobacteria
t2511231222,Proteobacteria
t2511231221,Proteobacteria
t646311907,Proteobacteria
t643692004,Proteobacteria
t2511231090,Proteobacteria
t650377909,Proteobacteria
t639633009,Proteobacteria
t649633014,Proteobacteria
t644736328,Proteobacteria
t637000027,Proteobacteria
t637000028,Proteobacteria
t641228478,Proteobacteria
t637000156,Proteobacteria
t637000029,Proteobacteria
t637000030,Proteobacteria
t2508501047,Proteobacteria
t640963011,Proteobacteria
t640963012,Proteobacteria
t641522606,Proteobacteria
t638341141,Proteobacteria
t649989917,Proteobacteria
t641522607,Proteobacteria
t637000032,Proteobacteria
t637000033,Proteobacteria
t651053009,Proteobacteria
t637000034,Proteobacteria
t641228479,Proteobacteria
t651324015,Proteobacteria
t637000038,Proteobacteria
t2511231207,Proteobacteria
t2508501128,Proteobacteria
t640427103,Proteobacteria
t640427104,Proteobacteria
t2508501042,Proteobacteria
t2507262055,Proteobacteria
t2508501009,Proteobacteria
t2506783044,Proteobacteria
t651285001,Proteobacteria
t647533115,Proteobacteria
t648028010,Proteobacteria
t645058717,Proteobacteria
t2511231108,Proteobacteria
t647533116,Proteobacteria
t642555110,Proteobacteria
t637000039,Proteobacteria
t645058839,Proteobacteria
t645058842,Proteobacteria
t645058841,Proteobacteria
t647533117,Proteobacteria
t645058838,Proteobacteria
t645058864,Proteobacteria
t641228480,Proteobacteria
t2511231087,Proteobacteria
t645058865,Proteobacteria
t643886153,Proteobacteria
t645058847,Proteobacteria
t645058866,Proteobacteria
t645058844,Proteobacteria
t643692012,Proteobacteria
t651053010,Proteobacteria
t651053011,Proteobacteria
t637000040,Proteobacteria
t645058858,Proteobacteria
t645058863,Proteobacteria
t645058867,Proteobacteria
t637000041,Proteobacteria
t2511231220,Proteobacteria
t647533118,Proteobacteria
t2511231208,Proteobacteria
t644736332,Proteobacteria
t645058868,Proteobacteria
t640427105,Proteobacteria
t645058843,Proteobacteria
t2511231179,Proteobacteria
t645058783,Proteobacteria
t645058859,Proteobacteria
t645058848,Proteobacteria
t648276624,Proteobacteria
t648276625,Proteobacteria
t645951812,Proteobacteria
t648276626,Proteobacteria
t647533119,Proteobacteria
t641228481,Proteobacteria
t2511231120,Proteobacteria
t637000042,Proteobacteria
t645058845,Proteobacteria
t647533120,Proteobacteria
t645058840,Proteobacteria
t650716012,Proteobacteria
t643348520,Proteobacteria
t637000043,Proteobacteria
t2511231206,Proteobacteria
t639633012,Proteobacteria
t643348521,Proteobacteria
t650377915,Proteobacteria
t650377916,Proteobacteria
t650377917,Proteobacteria
t645951868,Proteobacteria
t637000045,Proteobacteria
t650377918,Proteobacteria
t643348522,Proteobacteria
t2511231158,Proteobacteria
t641736154,Proteobacteria
t641522608,Proteobacteria
t641736149,Proteobacteria
t637000046,Proteobacteria
t639633014,Proteobacteria
t643348523,Proteobacteria
t641522609,Proteobacteria
t638341024,Proteobacteria
t637000051,Proteobacteria
t637000047,Proteobacteria
t2509276048,Proteobacteria
t638341025,Proteobacteria
t650716013,Proteobacteria
t643692013,Proteobacteria
t641736151,Proteobacteria
t638341027,Proteobacteria
t638341028,Proteobacteria
t637000048,Proteobacteria
t638341029,Proteobacteria
t638341030,Proteobacteria
t638341031,Proteobacteria
t640069303,Proteobacteria
t640069304,Proteobacteria
t641736199,Proteobacteria
t639633015,Proteobacteria
t641228482,Proteobacteria
t642555111,Proteobacteria
t643886020,Proteobacteria
t643886021,Proteobacteria
t643886018,Proteobacteria
t641736121,Proteobacteria
t641736122,Proteobacteria
t642555112,Proteobacteria
t642555113,Proteobacteria
t640069305,Proteobacteria
t638341035,Proteobacteria
t641736119,Proteobacteria
t641736130,Proteobacteria
t638341036,Proteobacteria
t638341037,Proteobacteria
t637000049,Proteobacteria
t638341038,Proteobacteria
t642979333,Proteobacteria
t640069306,Proteobacteria
t641736125,Proteobacteria
t641736128,Proteobacteria
t641736129,Proteobacteria
t641736126,Proteobacteria
t641736117,Proteobacteria
t641736131,Proteobacteria
t637000050,Proteobacteria
t2512047054,Proteobacteria
t640612222,Proteobacteria
t2512047055,Proteobacteria
t647000219,Proteobacteria
t641736118,Proteobacteria
t643886077,Proteobacteria
t638341040,Proteobacteria
t638341041,Proteobacteria
t650716014,Proteobacteria
t649633021,Proteobacteria
